gene,chr,tss,MCF7_WT_binding,MCF7_D538G_binding,MCF7_binding_diff,T47D_WT_binding,T47D_D538G_binding,T47D_binding_diff,has_any_binding,has_differential_binding,has_opposite_binding,MCF7_FC,T47D_FC,correlation_type,total_effect
AGK,chr7,141551278,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3235330696714174,0.7538670746217915,same_as_secretion,14.41476811883246
PCYT2,chr17,81911461,71.66,52.09,-19.569999999999993,0.0,0.0,0.0,True,False,False,0.631965578759576,1.4038370813020915,inverse_repressor,14.32939398334225
KLHDC7B,chr22,50545899,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,10.697572132301197,0.1457519571487433,same_as_secretion,14.326461458388524
STOX1,chr10,68827199,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9448742746615089,0.5070254385159335,same_as_secretion,14.284182292600246
GAB2,chr11,78418348,60.06,0.0,-60.06,0.0,0.0,0.0,True,True,False,2.4552017532551247,0.6831486217675476,same_as_secretion,14.2075008957546
FTL,chr19,48965275,102.26,60.53,-41.730000000000004,0.0,199.24,199.24,True,True,False,1.873952779893374,0.7917481222347977,same_as_secretion,14.165654595725908
NECAB3,chr20,33674463,279.72,108.89,-170.83000000000004,88.55,773.07,684.5200000000001,True,True,True,0.6164554804250242,1.343518477927316,inverse_repressor,14.11707402052643
IGF2BP2,chr3,185825061,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.1858837104942624,2.5737445312290306,inverse_repressor,13.983679371378305
HAGHL,chr16,726494,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6645577320841952,2.025534132360605,inverse_repressor,13.791665816513484
TMEM132A,chr11,60924460,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6252030095124459,1.324413753416774,inverse_repressor,13.760715128821856
DOCK5,chr8,25184689,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5552866380088863,1.2180243828888984,inverse_repressor,13.760618118633497
CCND3,chr6,42050357,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7881875563570784,1.386182108626198,inverse_repressor,13.70645593627414
SP100,chr2,230415942,80.74,0.0,-80.74,0.0,0.0,0.0,True,True,False,2.903839434760666,0.7510271158586688,same_as_secretion,13.684933232271073
ID3,chr1,23559883,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7790736794886174,1.3898282340311323,inverse_repressor,13.668943806106348
PPP2R3A,chr3,135965655,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2305875011143796,0.5661573033707864,same_as_secretion,13.653662768405386
ARHGAP26,chr5,142770377,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5719023927979152,0.4342869342442356,same_as_secretion,13.634840090194938
LRRC45,chr17,82023294,407.57,76.08,-331.49,0.0,74.51,74.51,True,True,True,0.5644964834387648,1.4794490599038042,inverse_repressor,13.61312682115704
CLCN4,chrX,10156943,93.97,0.0,-93.97,0.0,91.08,91.08,True,True,True,2.060587882423515,0.5326411798952067,same_as_secretion,13.600809913757658
HK2,chr2,74834079,135.41,0.0,-135.41,0.0,0.0,0.0,True,True,False,1.3851113716295431,0.5130360831004738,same_as_secretion,13.563752141491811
GRAMD1C,chr3,113828182,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.5865558366461867,0.7011798905608756,same_as_secretion,13.51915587656472
BAK1,chr6,33580305,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7064504758547762,1.21551724137931,inverse_repressor,13.48253249373322
ARHGAP40,chr20,38601775,201.63,0.0,-201.63,67.07,194.7,127.63,True,True,True,0.1149551729045111,1.2404174527738636,inverse_repressor,13.469955818577333
TXNRD1,chr12,104215779,125.43,0.0,-125.43,0.0,0.0,0.0,True,True,False,1.6193172690763051,0.7016635514018691,same_as_secretion,13.425926484101554
SUSD4,chr1,223365279,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.69041769041769,0.2884311740890689,same_as_secretion,13.419295476680931
SLC16A10,chr6,111087503,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.131568703775788,0.3072312205075883,same_as_secretion,13.415567055085676
PCED1B,chr12,47077945,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.4468830823523726,0.4927827167574802,same_as_secretion,13.39331360216855
HELB,chr12,66302493,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3964638491723425,0.4772397094430993,same_as_secretion,13.354703467141263
LYPD6B,chr2,149037975,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6235612728503724,1.4377823795180724,inverse_repressor,13.328944619349471
LIPH,chr3,185552617,213.65,0.0,-213.65,0.0,0.0,0.0,True,True,False,0.2236925378286634,1.264203881225158,inverse_repressor,13.282641250517347
TBC1D2,chr9,98255649,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5988650949131932,1.4227188081936686,inverse_repressor,13.27436573400805
SYTL1,chr1,27342009,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5565806816042177,1.2208433087409,inverse_repressor,13.270051304022694
LRRC58,chr3,120349409,326.95,65.72,-261.23,0.0,0.0,0.0,True,True,False,1.5024202971123353,0.7134125636672326,same_as_secretion,13.252029802664712
TIAM1,chr21,31559977,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.557325227963526,0.6445773173151107,same_as_secretion,13.23298707553015
AMOTL1,chr11,94706431,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6221219108238885,0.5678466861857866,same_as_secretion,13.193516602350444
SPATA2L,chr16,89701705,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6956166097291054,1.355151894769809,inverse_repressor,13.150109572950374
PWWP3B,chrX,106168304,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7555014351569975,1.835099337748344,inverse_repressor,13.141086960640258
NEDD9,chr6,11382348,107.84,105.15,-2.6899999999999977,0.0,620.09,620.09,True,True,False,0.4901929260450161,1.3239549839228295,inverse_repressor,13.012570145606308
COL6A2,chr21,46096722,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.598267981717585,0.4599948101375313,same_as_secretion,13.007024729271569
PARD6A,chr16,67660909,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7481074943224829,1.7978742899028768,inverse_repressor,12.980474629429258
CMBL,chr5,10307974,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.14314762098414,0.798550140958518,same_as_secretion,12.974128441423174
NR2F1,chr5,93583222,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,9.882246717580228,0.1056974085365853,same_as_secretion,12.90037157013152
DDX60,chr4,168318883,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,7.068681729762083,0.5107259854168869,same_as_secretion,12.885714203212064
TNFRSF11A,chr18,62325269,0.0,0.0,0.0,0.0,106.6,106.6,True,True,False,1.9955763086753504,0.3467221644120708,same_as_secretion,12.878482513370084
C1RL,chr12,7109245,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.724287484510533,0.5241339389081843,same_as_secretion,12.874064611224764
OAS2,chr12,112978395,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,36.20068896544061,0.3608604407135362,same_as_secretion,12.841125114631843
INPP4B,chr4,142847432,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5997023809523809,1.2200858369098713,inverse_repressor,12.77189884246311
SERPINA1,chr14,94390866,113.49,0.0,-113.49,774.65,3453.1699999999996,2678.5199999999995,True,True,True,19.65776742519262,0.7635754583921015,same_as_secretion,12.752316962135522
DAPP1,chr4,99816816,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.979825484250264,0.5575154813285795,same_as_secretion,12.74327867874877
ACSL1,chr4,184826853,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.084177357641233,0.7947393461564604,same_as_secretion,12.69447157489396
ZNF714,chr19,21077069,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3254714557319769,0.5880831110033148,same_as_secretion,12.5939695588055
SUCO,chr1,172532349,125.46,0.0,-125.46,0.0,0.0,0.0,True,True,False,1.31142993782879,0.7627079032446539,same_as_secretion,12.579798182320983
C3orf70,chr3,185153060,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4933356117566643,1.5033925220153028,inverse_repressor,12.577267483845326
ZBTB44,chr11,130314917,0.0,0.0,0.0,0.0,66.37,66.37,True,True,False,1.307600626574951,0.7606037608567333,same_as_secretion,12.555663205960428
CEP97,chr3,101724534,53.16,75.33,22.17,0.0,165.33,165.33,True,True,False,1.402725914861837,0.7251604840084075,same_as_secretion,12.534946204255792
SLC25A36,chr3,140941801,1021.5,330.28,-691.22,69.06,658.19,589.1300000000001,True,True,True,1.278862242052426,0.6122399862472064,same_as_secretion,12.504181776026815
ACTB,chr7,5563902,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6841132014793375,1.3433938178170877,inverse_repressor,12.481215431782928
ITPKC,chr19,40717112,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7062262098966829,1.366435112093464,inverse_repressor,12.478335183890088
UNC5B,chr10,71212523,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.800578772661503,0.4004927456884751,same_as_secretion,12.455031986576948
FOXP1,chr3,71584009,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2427695761029094,0.4238435222370965,same_as_secretion,12.391878678777807
SAMD9,chr7,93118023,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,19.90177736202058,0.6321260898725687,same_as_secretion,12.387135802257893
HLA-F,chr6,29722738,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.5842248413417948,0.5483119906868452,same_as_secretion,12.364374215203927
SHROOM1,chr5,132830920,98.34,0.0,-98.34,63.84,148.05,84.21000000000001,True,True,True,1.6610707425039672,0.6562774792379092,same_as_secretion,12.352827612560503
POF1B,chrX,85379755,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.0137387449027067,0.6586212214682295,same_as_secretion,12.349962134155248
TLN2,chr15,62390512,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4795486600846262,0.6177173658307945,same_as_secretion,12.33556152003866
PMEPA1,chr20,57711536,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7468949943545351,1.3415342714480256,inverse_repressor,12.31194235737618
TRIM29,chr11,120185529,0.0,0.0,0.0,0.0,67.05,67.05,True,True,False,11.875238128225554,0.7183770883054893,same_as_secretion,12.307647684597583
DIXDC1,chr11,111927144,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3206617832786056,0.7186669030313775,same_as_secretion,12.201746886542642
PGLYRP4,chr1,153348841,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.217523659632628,0.1705215936739659,same_as_secretion,12.181564816778309
CD24,chr6,106975627,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6070225447006995,1.2496563573883162,inverse_repressor,12.171699401634164
CSTB,chr21,43776579,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2748186528497407,0.5410344827586206,same_as_secretion,12.155377905238424
PI3,chr20,45174902,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,25.828527489427145,0.1219196521018844,same_as_secretion,12.15328807998325
IFI27,chr14,94104836,51.29,0.0,-51.29,0.0,0.0,0.0,True,True,False,51.00741488411817,0.2880506179790343,same_as_secretion,12.13670733350472
FAM167A,chr8,11475908,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6064009395874623,0.4066511931529702,same_as_secretion,12.117000154224698
RETREG1,chr5,16617101,306.66,57.48,-249.18000000000004,0.0,485.65,485.65,True,True,True,1.628384192758324,0.5478486900608797,same_as_secretion,12.098433233737616
CES3,chr16,66961245,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.391797019337357,0.2603896103896104,same_as_secretion,12.088396071735788
BTN3A1,chr6,26402237,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.862615587846764,0.7094580004318721,same_as_secretion,12.074926275926275
ATXN1,chr6,16761491,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.210678430179495,0.6307083333333333,same_as_secretion,12.037423537305916
PGM2L1,chr11,74398473,0.0,79.91,79.91,0.0,243.83,243.83,True,True,False,2.491419061817425,0.4521614911057446,same_as_secretion,11.979980004569692
FOXO3,chr6,108559652,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2111659309270322,0.6560783560591512,same_as_secretion,11.924103135748428
COL5A1,chr9,134641803,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6450875856816451,0.3944693572496262,same_as_secretion,11.89373551519582
STEAP1,chr7,90154436,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,6.072212089974362,0.7922245683765992,same_as_secretion,11.866873030022305
PDZK1IP1,chr1,47191398,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.382457271847791,0.342725675976548,same_as_secretion,11.84931728752515
ERO1A,chr14,52696025,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4277560339204172,0.6664716697309042,same_as_secretion,11.804812324614126
SLC4A8,chr12,51391317,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3489164508654763,0.5071728347958794,same_as_secretion,11.800267553332704
THRB,chr3,24495756,0.0,0.0,0.0,0.0,115.24,115.24,True,True,False,1.573462891606634,0.6983462069299499,same_as_secretion,11.791676132209004
LPCAT1,chr5,1524282,294.04,77.85,-216.19000000000003,0.0,115.67,115.67,True,True,True,0.5467896817925062,1.2047686418109187,inverse_repressor,11.757981027428016
ATP6V1E2,chr2,46543287,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7305785123966944,0.5894946661252815,same_as_secretion,11.748527575418995
MATN3,chr2,20012669,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6020127795527157,1.7575980392156862,inverse_repressor,11.746976586034709
TGFBI,chr5,136028988,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.282262959815467,0.392456818624315,same_as_secretion,11.724800633221594
IFNGR1,chr6,137219449,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3638259833134685,0.7036033323296196,same_as_secretion,11.721878261910309
L1CAM,chrX,153886204,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.315000170805862,0.3984404010397326,same_as_secretion,11.70785391795836
MGAT4B,chr5,179806979,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7149413942011105,1.2388879909487636,inverse_repressor,11.676605023751865
EPS8L2,chr11,694438,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5959858412411508,1.3047863629596546,inverse_repressor,11.641463421741117
DHRS4-AS1,chr14,24075861,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3374446552814674,0.6335577767554682,same_as_secretion,11.63985135301423
APOL6,chr22,35648386,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.5600667988727697,0.5973718791064389,same_as_secretion,11.600982908388216
DUSP22,chr6,291630,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7226251987281398,1.3255760763908742,inverse_repressor,11.589899146188618
KLHDC10,chr7,130070534,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2092791495958364,0.6711409395973155,same_as_secretion,11.577604963132956
WFDC2,chr20,45469386,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.5855574399714363,0.071583514099783,same_as_secretion,11.57357849002658
ST3GAL4,chr11,126354677,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4237622451681229,1.3664884135472368,inverse_repressor,11.569622030266617
SCNN1B,chr16,23278231,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.475714468794053,0.5203435952919576,same_as_secretion,11.555594475991027
GSTM4,chr1,109656099,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7525817732976754,1.8351482153660008,inverse_repressor,11.542725410789016
DDIT4,chr10,72273919,208.14,0.0,-208.14,0.0,0.0,0.0,True,True,False,1.2689415847310583,0.670590190267815,same_as_secretion,11.539101106911534
CDC42EP2,chr11,65314834,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3790508234460777,0.3072501243162606,same_as_secretion,11.533582136520018
CTBP2,chr10,125163006,0.0,0.0,0.0,0.0,68.21,68.21,True,True,False,1.421417456500212,0.7744440057902354,same_as_secretion,11.529164663570524
IFIT2,chr10,89283694,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,15.329119605056473,0.6651127819548872,same_as_secretion,11.481849826116742
COLQ,chr3,15521928,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.780393205831216,0.5603871215024914,same_as_secretion,11.454394854477222
IDH2,chr15,90102490,55.95,0.0,-55.95,0.0,72.05,72.05,True,True,True,0.6392834155760566,1.414860259032038,inverse_repressor,11.44101638344814
DCTN3,chr9,34620523,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6592965310368185,1.2127334664630562,inverse_repressor,11.428452432122432
ITGB5,chr3,124901418,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7980998636673484,1.710138648180242,inverse_repressor,11.426528151545154
AKAP5,chr14,64465499,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.933146196150321,0.5211530125704379,same_as_secretion,11.37090076484094
HCP5,chrHSCHR6_MHC_MCF_CTG1,2806319,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.2626688738185505,0.5566171505739366,same_as_secretion,11.323907083086686
NAAA,chr4,75941013,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7759316173645793,1.2752098902112738,inverse_repressor,11.26318556857824
ENO1,chr1,8879289,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6463073394495413,1.2966968590870174,inverse_repressor,11.199846900102475
SYNE4,chr19,36008831,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7088460259394745,1.2539267015706803,inverse_repressor,11.104994591879166
ALG1L1P,chr3,125990537,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.563374650139944,0.3768630647414998,same_as_secretion,11.10409455980434
DDAH2,chr6,31730617,83.08,0.0,-83.08,0.0,149.67,149.67,True,True,True,0.595437145919461,1.2010922885734845,inverse_repressor,11.08428835309898
VSIG10,chr12,118136026,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7726593287131404,1.202582311168496,inverse_repressor,11.07805271699138
DSCR8,chr21,38121441,284.33,97.61,-186.71999999999997,0.0,80.26,80.26,True,True,True,0.3762688825064129,1.314142678347935,inverse_repressor,11.061112819001732
PLEKHG2,chr19,39412669,648.7900000000001,69.53,-579.2600000000001,0.0,358.1,358.1,True,True,True,0.5691974908068355,1.3968464826152247,inverse_repressor,11.055477071755252
TMEM39A,chr3,119468854,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2032613211466556,0.6971642077026251,same_as_secretion,11.05380386418669
RAB7B,chr1,206003461,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,9.871608299690172,0.5739386371744558,same_as_secretion,11.04967844338038
YAP1,chr11,102110099,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3889319485351106,0.7372211177380162,same_as_secretion,11.043380692303067
PKP2,chr12,32896798,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6629103036685974,1.62,inverse_repressor,11.004906885449106
BPGM,chr7,134646811,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6965820507695382,0.7378702525894967,same_as_secretion,10.96947933669788
ABHD17C,chr15,80679684,754.19,161.08,-593.11,95.43,466.68,371.25,True,True,True,0.5269481634054239,1.3584415584415583,inverse_repressor,10.87424671882695
KCNG1,chr20,51023244,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.547427154370738,0.1911362591911764,same_as_secretion,10.840306571931896
CIMAP3,chr1,111346600,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9251063829787236,0.5612214048170916,same_as_secretion,10.834531409364311
CKMT1B,chr15,43593054,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.69052244683644,1.246204712675794,inverse_repressor,10.834038087791717
ABCA2,chr9,137028915,57.95,0.0,-57.95,0.0,0.0,0.0,True,True,False,0.62565515750797,1.298238933841028,inverse_repressor,10.819593523024606
RADX,chrX,106611930,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4727233491583945,1.7348215795704378,inverse_repressor,10.819379967457635
C14orf119,chr14,23094692,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3142781175219356,0.7813399633603768,same_as_secretion,10.767398721621596
RETSAT,chr2,85354655,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7409529005273686,1.256681270536692,inverse_repressor,10.74531396472696
MB21D2,chr3,192917856,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7318893783651492,1.4414461038000888,inverse_repressor,10.740458172461375
GRAMD2A,chr15,72197830,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.2571126441411954,1.379877693651718,inverse_repressor,10.735560984387186
VMA21,chrX,151396515,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2848166995534325,0.7766400980993257,same_as_secretion,10.707364773212412
PDIA5,chr3,123067025,130.84,0.0,-130.84,0.0,0.0,0.0,True,True,False,1.4674955595026644,0.722252597047567,same_as_secretion,10.692936076676505
CHASERR,chr15,92819305,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7458721833721832,1.2562800921080175,inverse_repressor,10.683534002228056
KLF4,chr9,107490482,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6863452861553077,0.5508598773740092,same_as_secretion,10.6370737465219
KCNK15,chr20,44745865,0.0,0.0,0.0,0.0,71.46,71.46,True,True,False,0.7497708524289642,1.4399678892178014,inverse_repressor,10.621819366007076
SP110,chr2,230225729,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0902362906821224,0.7258295831066712,same_as_secretion,10.589801462478116
RPGR,chrX,38327544,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3868353868353869,0.6304709683736412,same_as_secretion,10.57906598014877
LOC102725231,chr5,180467156,0.0,77.23,77.23,50.33,434.86,384.53000000000003,True,True,False,0.5734826163818505,1.9233292332923329,inverse_repressor,10.575431958124517
DNAJC12,chr10,67838188,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.884398543132266,0.4995555555555555,same_as_secretion,10.5571609638597
RPS6KA2,chr6,166906451,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4351141170808318,4.326437171443107,inverse_repressor,10.502911016582472
TRANK1,chr3,36945057,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0941489361702126,0.6107477767396796,same_as_secretion,10.485674912040103
IFI44,chr1,78647078,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,43.70533402382186,0.2963970588235294,same_as_secretion,10.432055631719807
CLTB,chr5,176416557,145.38,0.0,-145.38,0.0,0.0,0.0,True,True,False,0.7208219178082191,1.35580480357038,inverse_repressor,10.393133500244064
FGD3,chr9,92947486,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6869878728285809,2.349124070074394,inverse_repressor,10.37602685942273
SDHA,chr5,218274,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7024251223315588,1.3275881365416902,inverse_repressor,10.334840257623592
CHLSN,chr7,1138313,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7625882714154129,1.3285560344827587,inverse_repressor,10.286062188441916
TPRN,chr9,137204193,117.26,0.0,-117.26,0.0,371.31,371.31,True,True,True,0.6397770996417672,1.2335218746392704,inverse_repressor,10.262482108838324
LRP4,chr11,46918642,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.1238067263915408,0.7535467791411044,same_as_secretion,10.230968873602803
TSPO,chr22,43151077,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7438286642306131,1.5824774001231248,inverse_repressor,10.222992057923342
ZNF702P,chr19,52970875,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.582421438825969,1.2611560911316135,inverse_repressor,10.198339995865604
RABL3,chr3,120742993,0.0,0.0,0.0,0.0,66.71,66.71,True,True,False,1.5878513768821207,0.7612589818844246,same_as_secretion,10.163009859931863
KIF12,chr9,114099292,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.2873708466513043,0.6948345694597865,same_as_secretion,10.159997251586738
ZNF483,chr9,111525054,0.0,50.8,50.8,0.0,0.0,0.0,True,True,False,1.5356032675486158,0.6540745490535002,same_as_secretion,10.15976047391844
C6orf141,chr6,49550666,228.59,73.19,-155.4,0.0,201.87,201.87,True,True,True,1.435091496232508,0.5587674956181573,same_as_secretion,10.128307222346283
DEPTOR,chr8,119873717,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7446369438978735,0.6615964275746582,same_as_secretion,10.127731270414998
NRP1,chr10,33336262,97.17,0.0,-97.17,0.0,0.0,0.0,True,True,False,0.7650195520796302,2.681475424729717,inverse_repressor,10.078843551103477
RAB36,chr22,23145366,320.74,0.0,-320.74,0.0,83.77,83.77,True,True,True,2.047790245851037,0.1776552194678189,same_as_secretion,10.067668484366152
TAPT1,chr4,16227410,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7650066161433899,1.293511734097908,inverse_repressor,10.02591328065446
CRIP1,chr14,105484603,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5204773869346733,1.2124257651895842,inverse_repressor,9.977503024280264
CRIM1-DT,chr2,36355488,61.35,0.0,-61.35,0.0,0.0,0.0,True,True,False,0.3082993030182074,1.9609034987478415,inverse_repressor,9.970296929344627
HLA-C,chr6,31272130,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6106211730273037,0.7704007019596375,same_as_secretion,9.898027514807058
DUSP4,chr8,29350684,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4265671641791044,2.171324507949849,inverse_repressor,9.897933894793592
MX1,chr21,41420020,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.998746081504702,0.5596244131455399,same_as_secretion,9.88296805596744
PDK4,chr7,95597638,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.5372841444270016,0.2556916794282797,same_as_secretion,9.8459300728768
MDK,chr11,46380756,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7345397324940992,1.3933059045924607,inverse_repressor,9.829258716826088
TTC5,chr14,20305963,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3424962852897475,0.6670173988200369,same_as_secretion,9.826848263286582
GMIP,chr19,19643657,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6613707165109033,1.389886833123765,inverse_repressor,9.813948585366855
DMC1,chr22,38570211,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7380265127218302,0.5619860947966602,same_as_secretion,9.804803213185926
GRHL2-DT,chr8,101493338,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7160770264218541,1.5078377408160826,inverse_repressor,9.778194799650862
SLC22A31,chr16,89201651,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.9627023223082336,0.3242574257425742,same_as_secretion,9.74442921659646
LMAN1,chr18,59359265,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2135117308960708,0.7581276515950589,same_as_secretion,9.726842224382144
TRIM56,chr7,101085234,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3475007060152502,0.7588028169014085,same_as_secretion,9.7173212048854
MLF1,chr3,158571163,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3345277706680316,0.7675598086124401,same_as_secretion,9.69793824853237
