,cell_type
ejofgcha-1,Unknown
ejofgkbb-1,CD8+ T cells
ejofhgoj-1,Macrophages
ejogiald-1,CD4+ T cells
ejoglcoe-1,Macrophages
ejohaikk-1,Unknown
ejoheanf-1,Epithelial
ejohefmo-1,Unknown
ejohfgno-1,CD4+ T cells
ejohgjcb-1,Macrophages
ejohhmel-1,CD8+ T cells
ejohiecj-1,Unknown
ejohikjo-1,CD8+ T cells
ejohleaj-1,CD8+ T cells
ejohmkoc-1,CD8+ T cells
ejohneag-1,Macrophages
ejoiajce-1,Macrophages
ejoibopo-1,CD8+ T cells
ejoidngo-1,CD8+ T cells
ejoigadd-1,Epithelial
ejoihmhn-1,Macrophages
ejoiimcj-1,CD8+ T cells
ejoikfjg-1,Macrophages
ejoiliak-1,CD8+ T cells
ejoilpfp-1,CD4+ T cells
ejoipajj-1,CD8+ T cells
ejojagpc-1,Unknown
ejojbhhg-1,CD8+ T cells
ejojiiff-1,CD8+ T cells
ejojnhce-1,CD8+ T cells
ejojokpa-1,CD8+ T cells
ejojpgbo-1,CD8+ T cells
ejokapea-1,CD8+ T cells
ejokbdap-1,Unknown
ejokbfck-1,Unknown
ejokdfni-1,CD4+ T cells
ejokgged-1,CD8+ T cells
ejokiknj-1,CD8+ T cells
ejolackb-1,CD8+ T cells
ejolaicp-1,Macrophages
ejolccik-1,CD4+ T cells
ejoldbad-1,CD8+ T cells
ejoleeki-1,CD8+ T cells
ejolgecn-1,Unknown
ejolicpj-1,CD8+ T cells
ejoljfbd-1,CD8+ T cells
ejoljoip-1,Macrophages
ejolkfkp-1,CD8+ T cells
ejolobck-1,Macrophages
ejolooho-1,CD8+ T cells
ejolphbi-1,CD8+ T cells
ejomhgmd-1,Macrophages
ejomiaee-1,Macrophages
ejomohmb-1,Macrophages
ejompnac-1,Unknown
ejongekj-1,CD8+ T cells
ejonioha-1,CD8+ T cells
ejonjkha-1,CD8+ T cells
ejonpkec-1,Macrophages
ejoobflp-1,CD8+ T cells
ejoodkgm-1,CD8+ T cells
ejooefji-1,Macrophages
ejoohgen-1,CD4+ T cells
ejookdkh-1,CD8+ T cells
ejooneip-1,Unknown
ejopakec-1,Unknown
ejopeobg-1,Unknown
ejopgkki-1,CD8+ T cells
ejophjac-1,Unknown
ejopjljc-1,CD8+ T cells
ejopkogm-1,CD8+ T cells
ejoppgnp-1,Macrophages
ejpabagd-1,Unknown
ejpabeog-1,CD8+ T cells
ejpabfid-1,CD8+ T cells
ejpadimc-1,CD8+ T cells
ejpafejf-1,CD8+ T cells
ejpaifgj-1,Macrophages
ejpalffj-1,CD8+ T cells
ejpaochc-1,CD8+ T cells
ejpaoele-1,CD8+ T cells
ejpapaan-1,CD4+ T cells
ejpbbngj-1,CD8+ T cells
ejpbjbgo-1,CD8+ T cells
ejpbmkek-1,CD8+ T cells
ejpbndho-1,CD8+ T cells
ejpbpblg-1,Unknown
ejpbppdh-1,CD8+ T cells
ejpcajeh-1,CD8+ T cells
ejpcjgch-1,Unknown
ejpcjhbm-1,CD8+ T cells
ejpckmdn-1,CD8+ T cells
ejpcpdjk-1,CD8+ T cells
ejpcpndn-1,CD8+ T cells
ejpcpood-1,CD8+ T cells
ejpdaeib-1,CD8+ T cells
ejpdaidd-1,CD8+ T cells
ejpdbono-1,CD8+ T cells
ejpdiljk-1,Macrophages
ejpdkhjm-1,Macrophages
ejpdkijl-1,CD8+ T cells
ejpdldcb-1,CD8+ T cells
ejpdmpoc-1,Unknown
ejpdoioh-1,Macrophages
ejpecble-1,Macrophages
ejpefbnn-1,Macrophages
ejpejgnd-1,Macrophages
ejpekjcp-1,Macrophages
ejpelfam-1,CD8+ T cells
ejpemdka-1,CD8+ T cells
ejpeocap-1,CD8+ T cells
ejpfbljb-1,CD8+ T cells
ejpfcbfi-1,CD8+ T cells
ejpfenfa-1,CD8+ T cells
ejpffaag-1,Macrophages
ejpfgpeg-1,CD8+ T cells
ejpfkknb-1,CD8+ T cells
ejpflpii-1,CD8+ T cells
ejpfoeoj-1,CD8+ T cells
ejpfolac-1,CD8+ T cells
ejpfpmmo-1,Macrophages
ejpgbfdb-1,CD8+ T cells
ejpggioh-1,CD8+ T cells
ejpggmbh-1,CD8+ T cells
ejpggmck-1,CD8+ T cells
ejpghlle-1,CD8+ T cells
ejpgighc-1,Unknown
ejpgkbii-1,Unknown
ejphghch-1,Unknown
ejphifgd-1,CD8+ T cells
ejphimha-1,Unknown
ejphjajd-1,Unknown
ejphkmol-1,CD4+ T cells
ejpiaekf-1,Macrophages
ejpidkpn-1,Unknown
ejpieefc-1,CD8+ T cells
ejpihpfn-1,Unknown
ejpilcmf-1,Unknown
ejpimaln-1,CD8+ T cells
ejpiplnl-1,CD8+ T cells
ejpjbjkg-1,Unknown
ejpjcalg-1,Unknown
ejpjcfda-1,CD8+ T cells
ejpjddeh-1,B cells
ejpjelfo-1,CD8+ T cells
ejpjelig-1,Unknown
ejpjfmih-1,Macrophages
ejpjknfi-1,CD8+ T cells
ejpjmgaa-1,CD8+ T cells
ejpkfmog-1,CD8+ T cells
ejpkjkcj-1,CD8+ T cells
ejpkmlac-1,Epithelial
ejpkojcg-1,CD8+ T cells
ejpkphjj-1,Unknown
ejplaecd-1,Macrophages
ejplekpk-1,Macrophages
ejplgakc-1,CD8+ T cells
ejplkkna-1,Macrophages
ejpllcae-1,Unknown
ejplmmib-1,CD8+ T cells
ejplolbo-1,CD8+ T cells
ejpmagok-1,Unknown
ejpmbffo-1,Unknown
ejpmbgja-1,Epithelial
ejpmbmfd-1,CD8+ T cells
ejpmdaoh-1,CD8+ T cells
ejpmebbc-1,Macrophages
ejpmeldf-1,Unknown
ejpmepbl-1,Macrophages
ejpmflfo-1,Endothelial
ejpmhemf-1,Endothelial
ejpmjacd-1,Unknown
ejpmjaea-1,Epithelial
ejpmkjob-1,CD8+ T cells
ejpmllfa-1,CD8+ T cells
ejpmnlhg-1,CD4+ T cells
ejpnacnj-1,CD8+ T cells
ejpnbbfb-1,Macrophages
ejpnbopo-1,Macrophages
ejpncchk-1,CD8+ T cells
ejpncfbn-1,CD8+ T cells
ejpndkhn-1,CD8+ T cells
ejpnekop-1,CD8+ T cells
ejpnflmn-1,CD4+ T cells
ejpngbmn-1,Unknown
ejpnhomb-1,Unknown
ejpnnjjn-1,Macrophages
ejpnnlcg-1,CD8+ T cells
ejpnofee-1,Unknown
ejpochoa-1,CD8+ T cells
ejpoclnn-1,Macrophages
ejpokblp-1,CD8+ T cells
ejpolddg-1,CD8+ T cells
ejpooodp-1,CD8+ T cells
ejppadko-1,Unknown
ejppaegl-1,CD8+ T cells
ejppemli-1,CD8+ T cells
ejppfpdj-1,CD8+ T cells
ejppggom-1,CD8+ T cells
ejpphfal-1,CD8+ T cells
ejppigjn-1,CD8+ T cells
ejppkncl-1,CD8+ T cells
ejpplcon-1,CD8+ T cells
ekaaaemk-1,CD8+ T cells
ekaaaffo-1,CD8+ T cells
ekaabjak-1,CD8+ T cells
ekaaepim-1,CD8+ T cells
ekaagcgj-1,CD4+ T cells
ekaagljc-1,Macrophages
ekaaignd-1,CD8+ T cells
ekaajeio-1,CD8+ T cells
ekaajlhb-1,CD8+ T cells
ekaaondj-1,CD8+ T cells
ekaapmji-1,CD8+ T cells
ekabbdkh-1,Unknown
ekabcjcb-1,Macrophages
ekabcpjk-1,CD8+ T cells
ekabeabd-1,Macrophages
ekabfmdi-1,Macrophages
ekabgkkl-1,CD8+ T cells
ekabhddm-1,Unknown
ekablamm-1,CD8+ T cells
ekabpieb-1,CD8+ T cells
ekabplcc-1,Unknown
ekabpmde-1,CD8+ T cells
ekaccboc-1,Unknown
ekaccfof-1,CD8+ T cells
ekacfjdc-1,CD8+ T cells
ekachnfm-1,Unknown
ekacigkm-1,CD8+ T cells
ekaciphe-1,Epithelial
ekacmgbl-1,Macrophages
ekacnagi-1,CD8+ T cells
ekacofal-1,CD8+ T cells
ekadcfej-1,Macrophages
ekadddlf-1,CD8+ T cells
ekadjmpb-1,CD8+ T cells
ekadjpcg-1,CD8+ T cells
ekadknjf-1,Macrophages
ekadpcag-1,Unknown
ekaeocdk-1,CD8+ T cells
ekafadcl-1,Macrophages
ekafapbi-1,CD8+ T cells
ekafdclo-1,CD8+ T cells
ekafdgkm-1,Unknown
ekafebng-1,CD8+ T cells
ekafehlj-1,CD8+ T cells
ekaffcjj-1,CD8+ T cells
ekafnpej-1,CD8+ T cells
ekaghcjh-1,CD8+ T cells
ekaghjdp-1,CD8+ T cells
ekaginod-1,CD8+ T cells
ekagmjoa-1,CD8+ T cells
ekagollm-1,CD8+ T cells
ekagplcg-1,Epithelial
ekagpmmk-1,CD8+ T cells
ekagpnob-1,CD8+ T cells
ekahdlcl-1,CD8+ T cells
ekaheldd-1,CD8+ T cells
ekahfobb-1,CD8+ T cells
ekahgnlj-1,CD8+ T cells
ekahjhap-1,Macrophages
ekahjmok-1,CD8+ T cells
ekahkgkh-1,CD8+ T cells
ekahlpmh-1,CD8+ T cells
ekahmpob-1,CD8+ T cells
ekahnidk-1,Epithelial
ekahokei-1,CD8+ T cells
ekahpdlo-1,Endothelial
ekaidlae-1,Macrophages
ekaigjpp-1,Unknown
ekaikchb-1,CD8+ T cells
ekajaphc-1,CD8+ T cells
ekajbdmd-1,Unknown
ekajeada-1,Macrophages
ekajidmi-1,CD8+ T cells
ekajlgdl-1,CD8+ T cells
ekajndfi-1,Epithelial
ekajnjpp-1,CD8+ T cells
ekajpnec-1,CD8+ T cells
ekakdjoc-1,CD8+ T cells
ekakhjmp-1,Macrophages
ekakihec-1,Macrophages
ekalchdf-1,CD8+ T cells
ekaldlad-1,Macrophages
ekalfljh-1,CD8+ T cells
ekalgaph-1,CD8+ T cells
ekalipji-1,CD8+ T cells
ekallpmg-1,Macrophages
ekalnbcn-1,CD8+ T cells
ekamdmml-1,Macrophages
ekameefl-1,CD8+ T cells
ekamnhgi-1,Macrophages
ekamocma-1,CD8+ T cells
ekanbkno-1,CD8+ T cells
ekandagc-1,Unknown
ekaneihg-1,CD8+ T cells
ekanfcjc-1,CD8+ T cells
ekanflcn-1,CD8+ T cells
ekangiem-1,Macrophages
ekanhbep-1,Macrophages
ekanhigj-1,CD8+ T cells
ekankhem-1,CD8+ T cells
ekanlajd-1,CD8+ T cells
ekannfpo-1,CD8+ T cells
ekaodaaf-1,CD8+ T cells
ekaoddgl-1,CD8+ T cells
ekaoeeik-1,CD4+ T cells
ekaoiplb-1,CD8+ T cells
ekaolnfm-1,CD8+ T cells
ekaomioh-1,Macrophages
ekaonmpk-1,CD8+ T cells
ekapbapk-1,CD8+ T cells
ekapdflf-1,CD8+ T cells
ekapemnn-1,CD8+ T cells
ekapibhi-1,CD8+ T cells
ekapnpjl-1,Unknown
ekapolgf-1,CD8+ T cells
ekapplbn-1,CD8+ T cells
ekappldh-1,Macrophages
ekbaajnd-1,CD8+ T cells
ekbaapmn-1,CD8+ T cells
ekbanmbd-1,CD8+ T cells
ekbapccp-1,CD8+ T cells
ekbbahhn-1,CD8+ T cells
ekbbbhhe-1,CD8+ T cells
ekbbbica-1,CD8+ T cells
ekbbfill-1,CD8+ T cells
ekbbinho-1,CD8+ T cells
ekbbmbjd-1,CD8+ T cells
ekbbmnkk-1,CD4+ T cells
ekbcbngo-1,Macrophages
ekbcdcaf-1,CD8+ T cells
ekbcddkb-1,Macrophages
ekbcgack-1,Macrophages
ekbcjpob-1,CD8+ T cells
ekbckenc-1,Macrophages
ekbclcbp-1,Macrophages
ekbcmkpi-1,CD8+ T cells
ekbcnegd-1,CD8+ T cells
ekbcnmga-1,Macrophages
ekbdambk-1,Macrophages
ekbdecbf-1,CD4+ T cells
ekbdgemj-1,CD4+ T cells
ekbdiphh-1,CD4+ T cells
ekbdjaoj-1,CD8+ T cells
ekbdjcgn-1,CD4+ T cells
ekbdjcnk-1,CD8+ T cells
ekbdjkfo-1,CD8+ T cells
ekbdlpcd-1,CD8+ T cells
ekbdnojd-1,CD8+ T cells
ekbebhbh-1,CD8+ T cells
ekbebnpp-1,CD8+ T cells
ekbecgkf-1,CD8+ T cells
ekbeeakk-1,Macrophages
ekbefikj-1,CD8+ T cells
ekbefmgd-1,CD8+ T cells
ekbefobn-1,CD8+ T cells
ekbekdjd-1,CD8+ T cells
ekbeldbm-1,CD8+ T cells
ekbfageh-1,Epithelial
ekbfamjc-1,CD8+ T cells
ekbfbfkd-1,CD8+ T cells
ekbfcaak-1,CD8+ T cells
ekbfchnm-1,CD8+ T cells
ekbfcpoh-1,Epithelial
ekbfddal-1,Epithelial
ekbfeidn-1,CD8+ T cells
ekbfelho-1,Epithelial
ekbfglfe-1,CD8+ T cells
ekbfhmho-1,Endothelial
ekbfiale-1,CD8+ T cells
ekbfjilh-1,CD8+ T cells
ekbfneop-1,CD8+ T cells
ekbfnmah-1,CD8+ T cells
ekbfoinj-1,CD8+ T cells
ekbfpehh-1,Macrophages
ekbgbeid-1,Macrophages
ekbghadk-1,Unknown
ekbghcop-1,CD8+ T cells
ekbghnae-1,Macrophages
ekbgiiii-1,CD8+ T cells
ekbgipjn-1,Unknown
ekbgkedl-1,Macrophages
ekbgnbfi-1,Macrophages
ekbgndli-1,Macrophages
ekbgoafi-1,CD8+ T cells
ekbhbiop-1,CD8+ T cells
ekbhdplc-1,CD8+ T cells
ekbheomf-1,CD8+ T cells
ekbhephk-1,CD8+ T cells
ekbhhfdl-1,CD8+ T cells
ekbhijcj-1,CD8+ T cells
ekbhkfjk-1,Epithelial
ekbhmgfc-1,CD8+ T cells
ekbhpdml-1,CD8+ T cells
ekbhpoel-1,CD8+ T cells
ekbiaomi-1,Endothelial
ekbidhdc-1,CD8+ T cells
ekbiijia-1,CD8+ T cells
ekbiklnm-1,CD8+ T cells
ekbildik-1,CD8+ T cells
ekbimaoa-1,CD4+ T cells
ekbjbgld-1,CD8+ T cells
ekbjbiml-1,CD8+ T cells
ekbjdjge-1,Macrophages
ekbjfefj-1,CD8+ T cells
ekbjffjm-1,CD8+ T cells
ekbjhiak-1,Unknown
ekbjhijh-1,CD8+ T cells
ekbjjine-1,Macrophages
ekbjkmgh-1,Unknown
ekbjlfdn-1,Epithelial
ekbjlkhh-1,Epithelial
ekbjnmbp-1,CD8+ T cells
ekbjpbhm-1,Macrophages
ekbkaipg-1,CD8+ T cells
ekbkcmkp-1,CD8+ T cells
ekbkfkhh-1,CD8+ T cells
ekbkgjnj-1,Epithelial
ekbladoe-1,Unknown
ekblcmmc-1,Unknown
ekblfjnn-1,CD8+ T cells
ekblimai-1,CD8+ T cells
ekbljbdl-1,Macrophages
ekbljngd-1,CD8+ T cells
ekblkfbe-1,CD8+ T cells
ekblmgob-1,CD8+ T cells
ekbmaonb-1,CD8+ T cells
ekbmbbjg-1,CD8+ T cells
ekbmcige-1,CD8+ T cells
ekbmikak-1,Macrophages
ekbmkdno-1,CD8+ T cells
ekbmndkb-1,CD8+ T cells
ekbmnoio-1,CD8+ T cells
ekbmoeef-1,CD8+ T cells
ekbmpdig-1,Unknown
ekbncphb-1,Macrophages
ekbneijd-1,Epithelial
ekbnekfm-1,Endothelial
ekbnffoj-1,Macrophages
ekbnghjb-1,CD8+ T cells
ekbnlijf-1,CD8+ T cells
ekbnnkbi-1,Epithelial
ekbnnmkn-1,Unknown
ekboccbe-1,CD8+ T cells
ekbogici-1,CD8+ T cells
ekboifnl-1,CD8+ T cells
ekbojagn-1,Macrophages
ekbojefd-1,CD8+ T cells
ekbojmfg-1,CD8+ T cells
ekbojoac-1,CD8+ T cells
ekbokbdo-1,CD8+ T cells
ekbomned-1,CD8+ T cells
ekbonifd-1,CD8+ T cells
ekboopel-1,Fibroblasts
ekbpaadd-1,CD8+ T cells
ekbpaahk-1,CD8+ T cells
ekbpagdk-1,Unknown
ekbpdihm-1,CD8+ T cells
ekbpemin-1,CD4+ T cells
ekbpfhij-1,Unknown
ekbpgngk-1,CD8+ T cells
ekbpidnd-1,CD8+ T cells
ekbpikih-1,CD8+ T cells
ekbpjomn-1,CD8+ T cells
ekbpmioi-1,Fibroblasts
ekcaahgh-1,Macrophages
ekcabfml-1,CD8+ T cells
ekcacppg-1,CD8+ T cells
ekcadbjj-1,CD8+ T cells
ekcadcaj-1,CD8+ T cells
ekcafaao-1,CD8+ T cells
ekcajamm-1,CD8+ T cells
ekcaoboe-1,CD4+ T cells
ekcaoopm-1,CD8+ T cells
ekcapdfb-1,CD8+ T cells
ekcapfgh-1,Unknown
ekcbcjce-1,Epithelial
ekcbdbfo-1,CD8+ T cells
ekcbfclb-1,CD4+ T cells
ekcbfnke-1,CD8+ T cells
ekcblhdp-1,Macrophages
ekcbohkj-1,CD8+ T cells
ekcbooom-1,Macrophages
ekcbopbn-1,CD8+ T cells
ekcbplba-1,CD8+ T cells
ekccbifl-1,Macrophages
ekcccckm-1,Endothelial
ekccehgf-1,Macrophages
ekccifnc-1,Macrophages
ekccikna-1,Epithelial
ekcciooc-1,Fibroblasts
ekcckjap-1,CD8+ T cells
ekcclbjn-1,Unknown
ekccmhdh-1,CD8+ T cells
ekccocig-1,Macrophages
ekcdchdc-1,CD8+ T cells
ekcdjcfo-1,CD8+ T cells
ekcdkgdp-1,CD8+ T cells
ekcdlpll-1,CD8+ T cells
ekcdmbgm-1,Unknown
ekcdoadb-1,CD8+ T cells
ekcebngc-1,CD8+ T cells
ekcecofm-1,CD8+ T cells
ekcefhdg-1,CD8+ T cells
ekcelkng-1,CD8+ T cells
ekcemcho-1,CD8+ T cells
ekceopdp-1,CD8+ T cells
ekcfajnp-1,Unknown
ekcfbbkj-1,CD8+ T cells
ekcfchij-1,CD8+ T cells
ekcfgkof-1,CD8+ T cells
ekcfipap-1,CD4+ T cells
ekcfmmme-1,Unknown
ekcfnclc-1,CD4+ T cells
ekcfnigo-1,Epithelial
ekcfpdno-1,CD4+ T cells
ekcgaeng-1,CD8+ T cells
ekcgbkgb-1,CD8+ T cells
ekcgfkhf-1,CD8+ T cells
ekcggafb-1,CD8+ T cells
ekcgicld-1,CD4+ T cells
ekcgmaoa-1,CD8+ T cells
ekcgmjef-1,CD8+ T cells
ekchaein-1,CD8+ T cells
ekchciii-1,CD8+ T cells
ekchfipi-1,CD4+ T cells
ekchfplc-1,CD8+ T cells
ekchhpaj-1,CD8+ T cells
ekcigkpk-1,CD4+ T cells
ekcihafp-1,CD8+ T cells
ekcihlkm-1,CD8+ T cells
ekcjiemm-1,CD8+ T cells
ekcjiepp-1,Macrophages
ekcjijpb-1,Unknown
ekcjjlee-1,B cells
ekcjlaae-1,CD8+ T cells
ekcjnemn-1,Fibroblasts
ekcjoecg-1,CD4+ T cells
ekcjopeh-1,CD8+ T cells
ekcjpdcn-1,CD8+ T cells
ekcjpkce-1,Macrophages
ekckadjc-1,Epithelial
ekckalgj-1,B cells
ekckdnig-1,CD4+ T cells
ekckffbe-1,CD8+ T cells
ekckglcf-1,CD8+ T cells
ekckgmlh-1,CD8+ T cells
ekckjmhe-1,Macrophages
ekckkddd-1,CD8+ T cells
ekcklboh-1,Epithelial
ekcknbhf-1,Epithelial
ekcknlim-1,CD8+ T cells
ekckpdno-1,Macrophages
ekclbcnl-1,CD8+ T cells
ekclbenm-1,Macrophages
ekclbndo-1,CD8+ T cells
ekclghlk-1,CD8+ T cells
ekclhcel-1,CD8+ T cells
ekcljmce-1,CD8+ T cells
ekclkhhb-1,CD8+ T cells
ekclmpfn-1,CD8+ T cells
ekclochc-1,CD8+ T cells
ekcloelb-1,Macrophages
ekcmabcl-1,CD8+ T cells
ekcmaljn-1,Unknown
ekcmfbdd-1,CD8+ T cells
ekcmhkgl-1,Macrophages
ekcmpbgm-1,Macrophages
ekcmpgdk-1,Macrophages
ekcnbchh-1,Macrophages
ekcnebdk-1,CD8+ T cells
ekcnfdnb-1,Macrophages
ekcniffl-1,CD8+ T cells
ekcnjebf-1,Unknown
ekcnmkfa-1,CD4+ T cells
ekcnnpbk-1,CD8+ T cells
ekcodjkn-1,CD8+ T cells
ekcoghfh-1,CD8+ T cells
ekcogmjg-1,CD8+ T cells
ekcoihpe-1,CD8+ T cells
ekcoogkp-1,Macrophages
ekcpbbdj-1,CD8+ T cells
ekcpbkjl-1,Macrophages
ekcpbnag-1,Macrophages
ekcpjgjb-1,CD4+ T cells
ekcpjhep-1,Macrophages
ekcpncpd-1,CD8+ T cells
ekcpnibc-1,Macrophages
ekcppmak-1,CD8+ T cells
ekdaadbh-1,CD8+ T cells
ekdaagcb-1,Macrophages
ekdabdpc-1,Macrophages
ekdaboap-1,CD8+ T cells
ekdaeppp-1,CD8+ T cells
ekdagfkm-1,CD8+ T cells
ekdajhid-1,CD8+ T cells
ekdakcah-1,Macrophages
ekdakiei-1,Unknown
ekdalcle-1,CD4+ T cells
ekdalkfi-1,CD8+ T cells
ekdaphic-1,CD4+ T cells
ekdbaekp-1,Macrophages
ekdbgako-1,CD8+ T cells
ekdbgoco-1,CD4+ T cells
ekdbhpkn-1,Macrophages
ekdbijgg-1,CD8+ T cells
ekdbokje-1,Epithelial
ekdbplnm-1,CD4+ T cells
ekdceaef-1,CD8+ T cells
ekdcggop-1,CD8+ T cells
ekdcjcpi-1,Fibroblasts
ekdcmofp-1,CD4+ T cells
ekdcncgi-1,CD8+ T cells
ekdcnhla-1,Macrophages
ekdcppfi-1,CD8+ T cells
ekddcllh-1,CD4+ T cells
ekddefac-1,CD8+ T cells
ekddefcn-1,CD8+ T cells
ekddiefc-1,CD8+ T cells
ekddjkij-1,CD8+ T cells
ekddnaka-1,Epithelial
ekddoicp-1,CD8+ T cells
ekdeabib-1,Macrophages
ekdeemom-1,Macrophages
ekdelcdf-1,Macrophages
ekdelieo-1,CD8+ T cells
ekdelilk-1,CD8+ T cells
ekdemmng-1,CD4+ T cells
ekdenglp-1,Macrophages
ekdeogme-1,CD8+ T cells
ekdepjdj-1,CD8+ T cells
ekdfbkln-1,CD8+ T cells
ekdfdidp-1,Macrophages
ekdfedjb-1,CD8+ T cells
ekdfjejk-1,Macrophages
ekdfodmg-1,CD8+ T cells
ekdfpmgd-1,Macrophages
ekdgdjba-1,CD8+ T cells
ekdgeeon-1,CD8+ T cells
ekdgenmj-1,CD4+ T cells
ekdgfehc-1,Unknown
ekdggjnj-1,Epithelial
ekdghpoe-1,CD8+ T cells
ekdhanpf-1,CD4+ T cells
ekdhcffg-1,CD4+ T cells
ekdhfnbn-1,CD8+ T cells
ekdhodhl-1,CD8+ T cells
ekdibgnd-1,Macrophages
ekdidknb-1,CD4+ T cells
ekdiepmj-1,CD8+ T cells
ekdiglof-1,CD8+ T cells
ekdiidga-1,CD8+ T cells
ekdiihhd-1,CD8+ T cells
ekdikkoi-1,CD8+ T cells
ekdinpim-1,CD4+ T cells
ekdiohja-1,CD8+ T cells
ekdiohog-1,Macrophages
ekdjaeci-1,Macrophages
ekdjckfb-1,CD8+ T cells
ekdjebnd-1,CD8+ T cells
ekdjepmm-1,CD8+ T cells
ekdjhlnm-1,Epithelial
ekdjmiog-1,Fibroblasts
ekdjnfaa-1,Macrophages
ekdjonad-1,Fibroblasts
ekdjpklb-1,CD8+ T cells
ekdkaelb-1,CD8+ T cells
ekdkfepd-1,CD8+ T cells
ekdkfmda-1,CD8+ T cells
ekdkgipn-1,CD8+ T cells
ekdkhgna-1,Macrophages
ekdkhnmo-1,CD8+ T cells
ekdkhofg-1,CD8+ T cells
ekdkjfmj-1,CD8+ T cells
ekdknfpi-1,CD8+ T cells
ekdlbebb-1,CD4+ T cells
ekdlcief-1,CD8+ T cells
ekdlggch-1,CD8+ T cells
ekdlhdgk-1,CD8+ T cells
ekdllcdb-1,CD8+ T cells
ekdlnbhe-1,CD8+ T cells
ekdmbhef-1,CD4+ T cells
ekdmeiol-1,CD8+ T cells
ekdmfdbb-1,CD4+ T cells
ekdmigka-1,Macrophages
ekdmlejb-1,Macrophages
ekdmpijb-1,CD8+ T cells
ekdmppkd-1,Macrophages
ekdnafgl-1,CD8+ T cells
ekdnfknj-1,CD8+ T cells
ekdngcbc-1,CD8+ T cells
ekdngggj-1,CD4+ T cells
ekdnjjdj-1,CD8+ T cells
ekdnnihb-1,Macrophages
ekdnpgmf-1,Macrophages
ekdoahnf-1,Macrophages
ekdoakdk-1,CD4+ T cells
ekdodcam-1,CD4+ T cells
ekdodcjf-1,CD8+ T cells
ekdoffia-1,CD8+ T cells
ekdogipa-1,CD8+ T cells
ekdoipca-1,CD4+ T cells
ekdojbaj-1,Unknown
ekdolfcf-1,Epithelial
ekdolhio-1,CD8+ T cells
ekdoljdn-1,CD8+ T cells
ekdpbgea-1,CD8+ T cells
ekdpcnhl-1,CD8+ T cells
ekdpcnnl-1,CD8+ T cells
ekdpdllb-1,CD8+ T cells
ekdpenhl-1,CD8+ T cells
ekdpffnl-1,Macrophages
ekdphpig-1,CD8+ T cells
ekdplhbi-1,CD8+ T cells
ekeaclgn-1,CD8+ T cells
ekeagfbh-1,CD8+ T cells
ekeagfoi-1,CD8+ T cells
ekeakkpg-1,Epithelial
ekeanoip-1,CD4+ T cells
ekeaojfh-1,CD8+ T cells
ekeapfem-1,CD8+ T cells
ekebckap-1,CD8+ T cells
ekebgeml-1,CD8+ T cells
ekebhipi-1,Macrophages
ekebilmc-1,CD8+ T cells
ekeblfod-1,Unknown
ekebmfgj-1,CD8+ T cells
ekebnbdm-1,CD8+ T cells
ekecboih-1,Epithelial
ekeccfln-1,CD8+ T cells
ekecefgc-1,CD8+ T cells
ekecimfk-1,CD8+ T cells
ekecjmni-1,CD4+ T cells
ekecmapd-1,CD8+ T cells
ekecnape-1,CD4+ T cells
ekecnhil-1,CD8+ T cells
ekecnhnj-1,Macrophages
ekedakik-1,CD8+ T cells
ekeddijd-1,CD8+ T cells
ekedlogk-1,CD4+ T cells
ekedmhgh-1,CD4+ T cells
ekednmda-1,CD8+ T cells
ekeealgd-1,Fibroblasts
ekeeanca-1,CD8+ T cells
ekeeaokd-1,CD8+ T cells
ekeegiio-1,CD8+ T cells
ekeehdcd-1,CD8+ T cells
ekeehfcd-1,CD8+ T cells
ekeeialg-1,Macrophages
ekeeiilk-1,CD8+ T cells
ekeejila-1,CD8+ T cells
ekeenpgl-1,CD8+ T cells
ekeenpif-1,CD8+ T cells
ekeeooad-1,Unknown
ekefcjde-1,CD8+ T cells
ekefemim-1,CD8+ T cells
ekeffgpl-1,CD4+ T cells
ekefoign-1,CD4+ T cells
ekegdaba-1,CD8+ T cells
ekegfheh-1,CD8+ T cells
ekeggiil-1,CD8+ T cells
ekegihff-1,CD8+ T cells
ekegiofb-1,CD8+ T cells
ekegjefc-1,CD8+ T cells
ekegollh-1,CD8+ T cells
ekegpnkd-1,CD8+ T cells
ekehadok-1,Macrophages
ekeheobj-1,CD8+ T cells
ekehiice-1,CD8+ T cells
ekehjchf-1,CD8+ T cells
ekehjopg-1,CD8+ T cells
ekehleac-1,CD8+ T cells
ekehmofl-1,CD8+ T cells
ekeicpeg-1,CD8+ T cells
ekeiemhk-1,CD8+ T cells
ekeihfbg-1,CD8+ T cells
ekeijjcj-1,CD8+ T cells
ekeijphc-1,Macrophages
ekeimffo-1,Unknown
ekeinhjk-1,CD4+ T cells
ekeipjgd-1,Macrophages
ekejadhn-1,CD8+ T cells
ekejahpl-1,CD8+ T cells
ekejampl-1,CD4+ T cells
ekejcpmg-1,CD8+ T cells
ekejedfc-1,Macrophages
ekejegco-1,CD8+ T cells
ekejhllm-1,CD4+ T cells
ekejjkcj-1,CD8+ T cells
ekejlckn-1,CD8+ T cells
ekejlfcp-1,CD8+ T cells
ekejnnki-1,CD8+ T cells
ekejokoi-1,CD8+ T cells
ekekacgl-1,CD8+ T cells
ekekceed-1,CD8+ T cells
ekekclka-1,CD8+ T cells
ekekeplj-1,CD8+ T cells
